"d3mIndex","month","year","nmonth","republican","loyalist","britishforces","unknown","lagrep","lagloy","lagbrt","lagunk","ruc","udr","ba","totalforces","cathunemp","protunemp","yearmonth","unemploymentDisparity"
1,"July",1969,7,0,0,2,0,0,0,0,0,3.04399991035461,0,2.69300007820129,5737,0.0710000023245811,0.0100028673186898,1969.5,0.876512185768955
2,"August",1969,8,2,1,6,0,0,0,2,0,3.04399991035461,0,2.69300007820129,5737,0.0729999989271164,0.0100027313455939,1969.58333333333,0.879489128698184
4,"October",1969,10,0,2,2,0,1,0,0,0,3.04399991035461,0,2.69300007820129,5737,0.0759999975562096,0.0100027015432715,1969.75,0.883693167214424
5,"November",1969,11,0,0,0,0,0,2,2,0,3.04399991035461,0,2.69300007820129,5737,0.0820000022649765,0.0100028878077865,1969.83333333333,0.891276374036996
6,"December",1969,12,0,0,0,0,0,0,0,0,3.04399991035461,0,2.69300007820129,5737,0.0820000022649765,0.0100028878077865,1969.91666666667,0.891276374036996
9,"March",1970,3,0,0,0,0,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200558081269,1970.16666666667,0.889913759193876
10,"April",1970,4,1,0,0,0,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200092419982,1970.25,0.889914214476609
11,"April",1970,4,0,0,0,0,1,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200558081269,1970.25,0.889913759193876
12,"May",1970,5,0,0,0,0,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200558081269,1970.33333333333,0.889913759193876
13,"June",1970,6,10,1,0,1,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0820000022649765,0.0100188329815865,1970.41666666667,0.891121932213756
14,"July",1970,7,0,0,5,0,10,1,0,1,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100197019055486,1970.5,0.88991721935433
15,"August",1970,8,2,0,0,0,0,0,5,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0820000022649765,0.0100199626758695,1970.58333333333,0.891110992247055
16,"September",1970,9,1,1,0,0,2,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100194215774536,1970.66666666667,0.889919960184735
18,"November",1970,11,2,0,0,0,1,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0820000022649765,0.0100199626758695,1970.83333333333,0.891110992247055
20,"January",1971,1,1,0,0,0,0,0,0,1,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.100000001490116,0.0101100308820605,1971,0.908182472893222
21,"February",1971,2,9,0,2,2,1,0,0,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.126000002026558,0.0101051460951567,1971.08333333333,0.925754857662548
22,"March",1971,3,4,0,1,0,9,0,2,2,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.126000002026558,0.0101088769733906,1971.16666666667,0.925729481811437
23,"April",1971,4,0,0,0,0,4,0,1,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.126000002026558,0.0101102879270911,1971.25,0.925719885465426
24,"May",1971,5,2,1,1,0,0,0,0,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.127000004053116,0.0101061752066016,1971.33333333333,0.926289425748947
25,"June",1971,6,0,0,0,0,2,1,1,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.123000003397465,0.0101102879270911,1971.41666666667,0.924045783188621
26,"July",1971,7,3,0,2,0,0,0,0,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.127000004053116,0.0101087428629398,1971.5,0.926272078986114
27,"August",1971,8,9,0,23,2,3,0,2,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.129999995231628,0.0100975753739476,1971.58333333333,0.927924693266981
28,"September",1971,9,11,2,2,2,9,0,23,2,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.128000006079674,0.0100986054167151,1971.66666666667,0.926873954000767
29,"October",1971,10,20,2,9,1,11,2,2,2,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.130999997258186,0.0100951138883829,1971.75,0.928451710294227
30,"November",1971,11,19,0,2,0,20,2,9,1,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.128000006079674,0.0101047642529011,1971.83333333333,0.926832619694689
31,"December",1971,12,20,16,3,0,19,0,2,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.144999995827675,0.0100646689534187,1971.91666666667,0.93509373029873
32,"January",1972,1,10,0,16,1,20,16,3,0,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.164243474602699,0.0117739550769329,1972,0.933109152324502
33,"February",1972,2,24,1,2,1,10,0,16,1,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.1637894064188,0.0117517709732056,1972.08333333333,0.933054049495394
34,"March",1972,3,30,2,6,1,24,1,2,1,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.171357288956642,0.0116530666127801,1972.16666666667,0.936325643559773
35,"April",1972,4,14,2,4,0,30,2,6,1,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.165317878127098,0.0117451725527644,1972.25,0.933666722065011
36,"May",1972,5,23,10,3,3,14,2,4,0,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.192113041877747,0.011312180198729,1972.33333333333,0.944391457051101
37,"June",1972,6,24,6,4,1,23,10,3,3,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.180948734283447,0.011498692445457,1972.41666666667,0.940250214612353
38,"July",1972,7,51,25,20,0,24,6,4,1,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.289087921380997,0.0107623841613531,1972.5,0.964107476422654
40,"September",1972,9,15,14,11,3,37,12,2,1,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.209393307566643,0.0111534148454666,1972.66666666667,0.949428335531436
41,"October",1972,10,15,12,12,1,15,14,11,3,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.204235568642616,0.0112440753728151,1972.75,0.947818387095489
42,"November",1972,11,11,8,1,0,15,12,12,1,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.181621327996254,0.0114855961874127,1972.83333333333,0.940522090360216
43,"December",1972,12,13,20,5,2,11,8,1,0,4.25699996948242,8.76200008392334,14.2580003738403,29411,0.229024082422256,0.0109998630359769,1972.91666666667,0.954171809754327
44,"January",1973,1,8,8,2,0,13,20,5,2,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.147817075252533,0.0117375366389751,1973,0.926435616621622
45,"February",1973,2,16,12,8,1,8,8,2,0,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.164625257253647,0.0114674372598529,1973.08333333333,0.934878404288522
46,"March",1973,3,15,10,3,1,16,12,8,1,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.155512824654579,0.0115891620516777,1973.16666666667,0.930646174350698
48,"May",1973,5,17,10,5,0,7,4,5,0,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.157944068312645,0.0115860681980848,1973.33333333333,0.93165776636208
49,"June",1973,6,15,12,2,0,17,10,5,0,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.161478951573372,0.0115174418315291,1973.41666666667,0.933423803786635
52,"September",1973,9,7,2,0,0,13,11,2,0,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.131077453494072,0.0120972283184528,1973.66666666667,0.915507210036666
54,"November",1973,11,8,6,3,0,6,3,0,0,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.142959922552109,0.0118376314640045,1973.83333333333,0.923528304182556
55,"December",1973,12,10,3,2,0,8,6,3,0,4.39099979400635,8.27700042724609,17.1830005645752,32365,0.13531705737114,0.0120071731507778,1973.91666666667,0.918498314172484
56,"January",1974,1,10,8,1,0,10,3,2,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.184801444411278,0.0145996855571866,1974,0.926782332880984
57,"February",1974,2,14,10,2,0,10,8,1,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.194045037031174,0.0142782460898161,1974.08333333333,0.931461112383086
58,"March",1974,3,21,6,2,0,14,10,2,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.182825073599815,0.0147415744140744,1974.16666666667,0.925384296579056
59,"April",1974,4,9,4,2,1,21,6,2,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.171157717704773,0.0151246665045619,1974.25,0.91880785416851
60,"May",1974,5,6,50,2,0,9,4,2,1,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.399977803230286,0.0113242380321026,1974.33333333333,0.972467342983892
61,"June",1974,6,7,4,2,1,6,50,2,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.170454040169716,0.0151486014947295,1974.41666666667,0.918381541561693
62,"July",1974,7,8,3,0,1,7,4,2,1,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.166479647159576,0.0153297027572989,1974.5,0.915682539075643
64,"September",1974,9,6,6,0,0,7,3,4,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.175998166203499,0.0149452742189169,1974.66666666667,0.92172931321519
65,"October",1974,10,13,9,2,0,6,6,0,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.190097168087959,0.0144178653135896,1974.75,0.929502173635905
66,"November",1974,11,40,16,2,1,13,9,2,0,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.227780491113663,0.0133348880335689,1974.83333333333,0.94469499174739
67,"December",1974,12,6,5,0,0,40,16,2,1,4.56400012969971,7.82399988174438,15.8479995727539,32096,0.172773003578186,0.0150947785004973,1974.91666666667,0.919652117390861
68,"January",1975,1,6,1,2,0,6,5,0,0,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.210077166557312,0.024480976164341,1975,0.895629391159563
69,"February",1975,2,7,12,0,0,6,1,2,0,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.256164997816086,0.0204856023192406,1975.08333333333,0.92595135412965
70,"March",1975,3,3,9,1,0,7,12,0,0,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.241211965680122,0.0215318705886602,1975.16666666667,0.918049949736467
72,"May",1975,5,4,7,0,0,11,21,1,1,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.232099771499634,0.0222547091543674,1975.33333333333,0.912505142047643
73,"June",1975,6,11,10,1,1,4,7,0,0,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.248741671442986,0.0208793301135302,1975.41666666667,0.922560445985312
74,"July",1975,7,7,7,1,0,11,10,1,1,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.282099992036819,0.00920000020414591,1975.5,0.968417437524215
76,"September",1975,9,11,12,1,0,16,11,1,3,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.297800004482269,0.0108000002801418,1975.66666666667,0.965003240072998
78,"November",1975,11,22,6,0,0,16,17,0,1,4.90199995040894,7.65399980545044,14.5500001907349,31925,0.265799999237061,0.00889999978244305,1975.83333333333,0.967601019970112
80,"January",1976,1,23,17,2,2,11,8,0,0,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.311300009489059,0.0127999996766448,1976,0.960506018776135
84,"May",1976,5,11,12,1,0,15,4,3,1,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.276899993419647,0.0082999998703599,1976.33333333333,0.970897615478132
85,"June",1976,6,19,15,2,0,11,12,1,0,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.289600014686584,0.00730000017210841,1976.41666666667,0.97541259748477
87,"August",1976,8,6,8,2,3,17,14,1,0,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.332399994134903,0.00920000020414591,1976.58333333333,0.973067914646935
88,"September",1976,9,6,6,0,0,6,8,2,3,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.31020000576973,0.0105999996885657,1976.66666666667,0.966957607518047
89,"October",1976,10,14,12,1,0,6,6,0,0,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.282299995422363,0.0131000000983477,1976.75,0.955653350382569
90,"November",1976,11,13,7,0,1,14,12,1,0,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.253354102373123,0.0247479118406773,1976.83333333333,0.911011389433334
91,"December",1976,12,6,2,3,0,13,7,0,1,5.25299978256226,7.73799991607666,14.4409999847412,32129,0.231103494763374,0.0273828059434891,1976.91666666667,0.89406476912468
92,"January",1977,1,8,4,1,0,6,2,3,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.297699987888336,0.0110999997705221,1977,0.964054403451646
93,"February",1977,2,7,5,0,0,8,4,1,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.288100004196167,0.0120999999344349,1977.08333333333,0.959693538414574
94,"March",1977,3,9,4,0,1,7,5,0,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.259600013494492,0.0254999995231628,1977.16666666667,0.910557704809421
95,"April",1977,4,10,5,2,0,9,4,0,1,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.284500002861023,0.0140000004321337,1977.25,0.953098826540433
96,"May",1977,5,7,6,1,0,10,5,2,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.273900002241135,0.0181000009179115,1977.33333333333,0.938013696157213
97,"June",1977,6,8,0,0,0,7,6,1,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.268200010061264,0.032200001180172,1977.41666666667,0.892809587299608
98,"July",1977,7,7,1,0,0,8,0,0,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.345800012350082,0.0149999996647239,1977.5,0.958425722934543
99,"August",1977,8,5,0,2,0,7,1,0,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.311699986457825,0.0359999984502792,1977.58333333333,0.896462467607544
100,"September",1977,9,4,1,0,0,5,0,2,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.302300006151199,0.0361000001430511,1977.66666666667,0.893321514563859
102,"November",1977,11,3,0,0,0,6,0,1,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.276100009679794,0.0329000018537045,1977.83333333333,0.893527506065683
103,"December",1977,12,1,1,1,0,3,0,0,0,5.69199991226196,7.64400005340576,14.2449998855591,32267,0.283600002527237,0.0295000001788139,1977.91666666667,0.905780900913918
105,"February",1978,2,18,2,1,0,1,0,0,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.270099997520447,0.0368000008165836,1978.08333333333,0.880091231619458
106,"March",1978,3,5,2,0,0,18,2,1,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.26800000667572,0.0355000011622906,1978.16666666667,0.883031300673843
107,"April",1978,4,4,1,0,0,5,2,0,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.270900011062622,0.0399000011384487,1978.25,0.871621622998407
109,"June",1978,6,6,1,5,0,2,1,1,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.268200010061264,0.0410999990999699,1978.41666666667,0.867119308494605
110,"July",1978,7,4,0,1,0,6,1,5,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.310600012540817,0.0428000018000603,1978.5,0.878890775146441
112,"September",1978,9,5,1,1,0,5,1,0,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.286500006914139,0.0496999993920326,1978.66666666667,0.852171331172517
113,"October",1978,10,2,1,0,0,5,1,1,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.255899995565414,0.0485000014305115,1978.75,0.840670164556012
114,"November",1978,11,4,0,1,0,2,1,0,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.249899998307228,0.0428000018000603,1978.83333333333,0.853775190350625
115,"December",1978,12,5,0,0,0,4,0,1,0,6.1100001335144,7.86199998855591,14.1470003128052,32724,0.254000008106232,0.0410000011324883,1978.91666666667,0.861016949666228
117,"February",1979,2,6,0,0,0,2,0,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.23649999499321,0.0610000006854534,1979.08333333333,0.794957977910894
118,"March",1979,3,6,0,0,0,6,0,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.26230001449585,0.0405000001192093,1979.16666666667,0.866248354807064
119,"April",1979,4,14,2,0,0,6,0,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.253100007772446,0.0397999994456768,1979.25,0.864117451468556
120,"May",1979,5,6,1,0,0,14,2,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.224000006914139,0.046399999409914,1979.33333333333,0.828402373059462
121,"June",1979,6,8,2,1,0,6,1,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.226099997758865,0.0500999987125397,1979.41666666667,0.818609705457666
122,"July",1979,7,6,1,0,0,8,2,1,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.259799987077713,0.0570000000298023,1979.5,0.820075750159492
123,"August",1979,8,28,1,1,0,6,1,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.25560000538826,0.0579999983310699,1979.58333333333,0.815051027923521
124,"September",1979,9,3,3,0,0,28,1,1,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.243900001049042,0.0586000010371208,1979.66666666667,0.806280989643003
125,"October",1979,10,9,3,0,0,3,3,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.229900002479553,0.0540999993681908,1979.75,0.809507045717575
126,"November",1979,11,5,2,0,0,9,3,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.23309999704361,0.0463000014424324,1979.83333333333,0.834287753424074
127,"December",1979,12,9,2,0,0,5,2,0,0,6.64200019836426,7.6230001449585,13.1239995956421,31903,0.199499994516373,0.0688000023365021,1979.91666666667,0.743570618175485
128,"January",1980,1,12,1,3,1,9,2,0,0,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.221399992704391,0.0632999986410141,1980,0.777660693483419
130,"March",1980,3,3,0,1,0,4,3,0,2,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.223900005221367,0.0623999983072281,1980.16666666667,0.782046812650508
132,"May",1980,5,3,0,0,0,6,3,1,0,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.234500005841255,0.0610000006854534,1980.33333333333,0.793570222205934
133,"June",1980,6,2,3,0,0,3,0,0,0,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.258500009775162,0.0608999989926815,1980.41666666667,0.809330002126121
135,"August",1980,8,5,1,2,2,2,0,2,0,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.298000007867813,0.0812999978661537,1980.58333333333,0.785657799533028
136,"September",1980,9,4,0,0,0,5,1,2,2,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.300300002098083,0.0842000022530556,1980.66666666667,0.781014300909705
137,"October",1980,10,2,2,0,0,4,0,0,0,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.306400001049042,0.0820999965071678,1980.75,0.788674396335641
138,"November",1980,11,5,0,0,0,2,2,0,0,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.312799990177155,0.0846000015735626,1980.83333333333,0.787116247283088
139,"December",1980,12,3,1,0,1,5,0,0,0,6.94299983978271,7.73299980163574,12.9759998321533,32404,0.323599994182587,0.0842999964952469,1980.91666666667,0.7933317028148
140,"January",1981,1,7,0,0,0,3,1,0,1,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.343100011348724,0.088699996471405,1981,0.794580836347845
142,"March",1981,3,2,1,1,0,4,1,0,0,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.374146938323975,0.104235410690308,1981.16666666667,0.782108577155727
143,"April",1981,4,6,0,3,0,2,1,1,0,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.37298971414566,0.105501689016819,1981.25,0.779511840088391
144,"May",1981,5,12,1,6,7,6,0,3,0,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.349500000476837,0.091899998486042,1981.33333333333,0.791798824870929
145,"June",1981,6,5,0,0,0,12,1,6,7,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.35359999537468,0.0954999998211861,1981.41666666667,0.787352480866682
146,"July",1981,7,3,0,4,2,5,0,0,0,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.358999997377396,0.10419999808073,1981.5,0.775043179830622
147,"August",1981,8,4,1,2,4,3,0,4,2,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.360700011253357,0.105200000107288,1981.58333333333,0.774200477480017
148,"September",1981,9,9,1,0,0,4,1,2,4,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.380199998617172,0.107600003480911,1981.66666666667,0.779417787990752
149,"October",1981,10,7,3,1,0,9,1,0,0,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.365200012922287,0.111599996685982,1981.75,0.765939608982662
150,"November",1981,11,10,4,1,0,7,3,1,0,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.358799993991852,0.10809999704361,1981.83333333333,0.768472908290548
151,"December",1981,12,1,0,0,0,10,4,1,0,7.33400011062622,7.47900009155273,11.2709999084473,30954,0.359800010919571,0.105700001120567,1981.91666666667,0.77293233429293
152,"January",1982,1,4,2,1,0,1,0,0,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.378500014543533,0.107799999415874,1982,0.778326143694348
153,"February",1982,2,1,0,1,0,4,2,1,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.363599985837936,0.11370000243187,1982.08333333333,0.761785029905348
154,"March",1982,3,7,1,0,0,1,0,1,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.36719998717308,0.10700000077486,1982.16666666667,0.774356804103067
155,"April",1982,4,9,0,1,0,7,1,0,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.267899990081787,0.169900000095367,1982.25,0.611923243701724
156,"May",1982,5,3,2,0,1,9,0,1,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.357800006866455,0.117600001394749,1982.33333333333,0.752629366110287
157,"June",1982,6,5,0,0,0,3,2,0,1,7.71799993515015,7.13000011444092,11.039999961853,30728,0.364499986171722,0.121799997985363,1982.41666666667,0.749537318623438
160,"September",1982,9,6,2,1,0,1,1,1,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.393400013446808,0.138199999928474,1982.66666666667,0.740030104493409
161,"October",1982,10,9,3,0,0,6,2,1,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.371499985456467,0.139899998903275,1982.75,0.726437224908355
162,"November",1982,11,7,2,4,0,9,3,0,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.36489999294281,0.112000003457069,1982.83333333333,0.765149917587423
163,"December",1982,12,19,0,3,0,7,2,4,0,7.71799993515015,7.13000011444092,11.039999961853,30728,0.364600002765656,0.112199999392033,1982.91666666667,0.764681210393691
164,"January",1983,1,4,1,1,0,19,0,3,0,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.376800000667572,0.116400003433228,1983,0.763990262641121
166,"March",1983,3,3,0,1,1,4,0,1,0,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.376700013875961,0.108400002121925,1983.16666666667,0.776540922393213
167,"April",1983,4,4,2,0,0,3,0,1,1,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.378800004720688,0.115299999713898,1983.25,0.766646430522017
168,"May",1983,5,4,1,0,0,4,2,0,0,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.377499997615814,0.113200001418591,1983.33333333333,0.769309146848697
171,"August",1983,8,2,0,3,0,6,0,2,1,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.388399988412857,0.111299999058247,1983.58333333333,0.777266356115963
172,"September",1983,9,3,0,0,0,2,0,3,0,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.403600007295609,0.121799997985363,1983.66666666667,0.768176633496174
173,"October",1983,10,7,1,0,0,3,0,0,0,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.396699994802475,0.115299999713898,1983.75,0.774804685646905
174,"November",1983,11,11,3,1,0,7,1,0,0,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.399599999189377,0.11370000243187,1983.83333333333,0.778492105839177
175,"December",1983,12,10,2,3,0,11,3,1,0,8.00300025939941,7.13500022888184,9.51599979400635,29147,0.397399991750717,0.111400000751019,1983.91666666667,0.781053454416789
176,"January",1984,1,5,1,1,0,10,2,3,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.373734682798386,0.10695893317461,1984,0.777490422962849
177,"February",1984,2,2,0,2,0,5,1,1,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.419900000095367,0.110600002110004,1984.08333333333,0.79151743327008
178,"March",1984,3,6,0,0,0,2,0,2,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.410699993371964,0.11089999973774,1984.16666666667,0.787384967019325
179,"April",1984,4,5,2,0,0,6,0,0,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.407700002193451,0.109999999403954,1984.25,0.787521732539038
181,"June",1984,6,4,0,1,0,10,0,1,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.40599998831749,0.106799997389317,1984.41666666667,0.791731668552777
182,"July",1984,7,3,1,1,0,4,0,1,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.412999987602234,0.110600002110004,1984.5,0.78877004529586
184,"September",1984,9,2,0,0,0,3,0,1,1,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.401399999856949,0.0784000009298325,1984.66666666667,0.836598581072798
185,"October",1984,10,7,1,1,0,2,0,0,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.387499988079071,0.0728999972343445,1984.75,0.841659427541645
186,"November",1984,11,0,2,0,0,7,1,1,0,8.1269998550415,6.77699995040894,9.10999965667725,28533,0.385699987411499,0.0715000033378601,1984.83333333333,0.84361328787284
