"d3mIndex","Region","Zone","Year","Month","Date","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","population","population_density","MaizeRetailPrice_li","MaizeProductionQuintal","MaizeYieldQtHa","Fertilizer_Area.HA","Fertilizer_Hectare","Fertilizer_Quintal"
1,"Amhara","North Wello",2008,1,"2008-01",13.696742578,12297.11,0,12297.11,"ETH","Ethiopia",1680005,136.6179,4.088889,91539.61,13.41,396716,326571,394196
2,"Amhara","North Wello",2008,10,"2008-10",29.91432362,12297.11,0,12297.11,"ETH","Ethiopia",1705509,138.6919,5.8,91539.61,13.41,396716,326571,394196
3,"Amhara","North Wello",2008,12,"2008-12",7.1145652412,12297.11,0,12297.11,"ETH","Ethiopia",1711176,139.1528,5,91539.61,13.41,396716,326571,394196
4,"Amhara","Oromiya",2008,5,"2008-05",42.958436038,3805.731,0,3805.731,"ETH","Ethiopia",515504,135.4547,5.04197555555556,85308.21,14.92,396716,326571,394196
5,"Amhara","Oromiya",2008,4,"2008-04",19.75461182,3805.731,0,3805.731,"ETH","Ethiopia",514640.3,135.2278,4.81037066666667,85308.21,14.92,396716,326571,394196
6,"Amhara","Oromiya",2008,11,"2008-11",61.41090946,3805.731,0,3805.731,"ETH","Ethiopia",520685.9,136.8163,3.6,85308.21,14.92,396716,326571,394196
7,"Amhara","Oromiya",2008,3,"2008-03",3.292938015,3805.731,0,3805.731,"ETH","Ethiopia",513776.7,135.0008,4.57876577777778,85308.21,14.92,396716,326571,394196
8,"Amhara","Oromiya",2008,8,"2008-08",201.19785344,3805.731,0,3805.731,"ETH","Ethiopia",518095,136.1355,5.73679022222222,85308.21,14.92,396716,326571,394196
9,"Amhara","North Wello",2008,9,"2008-09",81.896502208,12297.11,0,12297.11,"ETH","Ethiopia",1702675,138.4614,5.60987655555556,91539.61,13.41,396716,326571,394196
10,"Amhara","Oromiya",2008,2,"2008-02",4.3122741402,3805.731,0,3805.731,"ETH","Ethiopia",512913,134.7739,4.34716088888889,85308.21,14.92,396716,326571,394196
11,"Amhara","Oromiya",2008,9,"2008-09",66.181875368,3805.731,0,3805.731,"ETH","Ethiopia",518958.6,136.3624,5.96839511111111,85308.21,14.92,396716,326571,394196
12,"Amhara","Oromiya",2008,7,"2008-07",246.77470844,3805.731,0,3805.731,"ETH","Ethiopia",517231.3,135.9086,5.50518533333333,85308.21,14.92,396716,326571,394196
13,"Amhara","Oromiya",2008,12,"2008-12",3.207895964,3805.731,0,3805.731,"ETH","Ethiopia",521549.5,137.0432,4.2,85308.21,14.92,396716,326571,394196
14,"Amhara","Oromiya",2008,6,"2008-06",39.422635088,3805.731,0,3805.731,"ETH","Ethiopia",516367.7,135.6816,5.27358044444444,85308.21,14.92,396716,326571,394196
15,"Amhara","Oromiya",2008,10,"2008-10",37.57545586,3805.731,0,3805.731,"ETH","Ethiopia",519822.2,136.5894,6.2,85308.21,14.92,396716,326571,394196
16,"Amhara","North Wello",2008,11,"2008-11",50.01358487,12297.11,0,12297.11,"ETH","Ethiopia",1708342,138.9223,5.39,91539.61,13.41,396716,326571,394196
17,"Amhara","North Wello",2008,7,"2008-07",255.92488391,12297.11,0,12297.11,"ETH","Ethiopia",1697008,138.0006,5.22962966666667,91539.61,13.41,396716,326571,394196
18,"Amhara","North Wello",2008,2,"2008-02",2.8824681921,12297.11,0,12297.11,"ETH","Ethiopia",1682839,136.8483,4.27901244444444,91539.61,13.41,396716,326571,394196
19,"Amhara","North Wello",2008,3,"2008-03",5.9289376508,12297.11,0,12297.11,"ETH","Ethiopia",1685672,137.0788,4.46913588888889,91539.61,13.41,396716,326571,394196
20,"Amhara","North Wello",2008,4,"2008-04",24.072855283,12297.11,0,12297.11,"ETH","Ethiopia",1688506,137.3092,4.65925933333333,91539.61,13.41,396716,326571,394196
21,"Amhara","Oromiya",2008,1,"2008-01",18.708690554,3805.731,0,3805.731,"ETH","Ethiopia",512049.4,134.547,4.115556,85308.21,14.92,396716,326571,394196
22,"Amhara","North Wello",2008,6,"2008-06",57.237961646,12297.11,0,12297.11,"ETH","Ethiopia",1694174,137.7701,5.03950622222222,91539.61,13.41,396716,326571,394196
23,"Amhara","North Wello",2008,5,"2008-05",53.926369306,12297.11,0,12297.11,"ETH","Ethiopia",1691340,137.5397,4.84938277777778,91539.61,13.41,396716,326571,394196
24,"Amhara","North Wello",2008,8,"2008-08",257.07498874,12297.11,0,12297.11,"ETH","Ethiopia",1699841,138.231,5.41975311111111,91539.61,13.41,396716,326571,394196
25,"Amhara","North Wello",2009,5,"2009-05",9.8371066138,12297.11,0,12297.11,"ETH","Ethiopia",1725345,140.305,3.82592611111111,114136.8,18.87,355508,295056,435691
26,"Amhara","North Wello",2009,2,"2009-02",16.158260378,12297.11,0,12297.11,"ETH","Ethiopia",1716844,139.6136,3.78148177777778,114136.8,18.87,355508,295056,435691
27,"Amhara","Oromiya",2009,8,"2009-08",298.6893108,3805.731,0,3805.731,"ETH","Ethiopia",528458.8,138.8587,3.65209866666667,99178.32,16.97,355508,295056,435691
28,"Amhara","North Wello",2009,8,"2009-08",238.02525563,12297.11,0,12297.11,"ETH","Ethiopia",1733846,140.9963,3.87037044444444,114136.8,18.87,355508,295056,435691
29,"Amhara","North Wello",2009,11,"2009-11",11.8572655601,12297.11,0,12297.11,"ETH","Ethiopia",1742348,141.6876,3.73,114136.8,18.87,355508,295056,435691
30,"Amhara","North Wello",2009,3,"2009-03",36.220170621,12297.11,0,12297.11,"ETH","Ethiopia",1719678,139.8441,3.79629655555556,114136.8,18.87,355508,295056,435691
31,"Amhara","North Wello",2009,1,"2009-01",9.0495165882,12297.11,0,12297.11,"ETH","Ethiopia",1714010,139.3832,3.766667,114136.8,18.87,355508,295056,435691
32,"Amhara","Oromiya",2009,1,"2009-01",34.678328832,3805.731,0,3805.731,"ETH","Ethiopia",522413.2,137.2702,3.834444,99178.32,16.97,355508,295056,435691
33,"Amhara","North Wello",2009,4,"2009-04",32.2760939064,12297.11,0,12297.11,"ETH","Ethiopia",1722511,140.0745,3.81111133333333,114136.8,18.87,355508,295056,435691
34,"Amhara","Oromiya",2009,3,"2009-03",25.941490284,3805.731,0,3805.731,"ETH","Ethiopia",524140.5,137.7241,3.78234533333333,99178.32,16.97,355508,295056,435691
35,"Amhara","Oromiya",2009,7,"2009-07",295.05173672,3805.731,0,3805.731,"ETH","Ethiopia",527595.1,138.6318,3.678148,99178.32,16.97,355508,295056,435691
36,"Amhara","North Wello",2009,9,"2009-09",23.298821601,12297.11,0,12297.11,"ETH","Ethiopia",1736680,141.2267,3.88518522222222,114136.8,18.87,355508,295056,435691
37,"Amhara","North Wello",2009,6,"2009-06",20.838577355,12297.11,0,12297.11,"ETH","Ethiopia",1728179,140.5354,3.84074088888889,114136.8,18.87,355508,295056,435691
38,"Amhara","North Wello",2009,7,"2009-07",267.95367183,12297.11,0,12297.11,"ETH","Ethiopia",1731012,140.7659,3.85555566666667,114136.8,18.87,355508,295056,435691
39,"Amhara","Oromiya",2009,4,"2009-04",23.784485438,3805.731,0,3805.731,"ETH","Ethiopia",525004.2,137.951,3.756296,99178.32,16.97,355508,295056,435691
40,"Amhara","Oromiya",2009,11,"2009-11",13.5047490176,3805.731,0,3805.731,"ETH","Ethiopia",531049.7,139.5395,3.6,99178.32,16.97,355508,295056,435691
41,"Amhara","North Wello",2009,10,"2009-10",45.295646837,12297.11,0,12297.11,"ETH","Ethiopia",1739514,141.4572,3.9,114136.8,18.87,355508,295056,435691
42,"Amhara","Oromiya",2009,12,"2009-12",51.565659042,3805.731,0,3805.731,"ETH","Ethiopia",531913.3,139.7665,3.4,99178.32,16.97,355508,295056,435691
43,"Amhara","Oromiya",2009,2,"2009-02",19.304972498,3805.731,0,3805.731,"ETH","Ethiopia",523276.8,137.4971,3.80839466666667,99178.32,16.97,355508,295056,435691
44,"Amhara","North Wello",2009,12,"2009-12",27.494678805,12297.11,0,12297.11,"ETH","Ethiopia",1745181,141.9181,3.9,114136.8,18.87,355508,295056,435691
45,"Amhara","Oromiya",2009,9,"2009-09",39.134577568,3805.731,0,3805.731,"ETH","Ethiopia",529322.4,139.0857,3.62604933333333,99178.32,16.97,355508,295056,435691
46,"Amhara","Oromiya",2009,6,"2009-06",39.29282387,3805.731,0,3805.731,"ETH","Ethiopia",526731.4,138.4049,3.70419733333333,99178.32,16.97,355508,295056,435691
47,"Amhara","Oromiya",2009,10,"2009-10",66.566030346,3805.731,0,3805.731,"ETH","Ethiopia",530186.1,139.3126,3.6,99178.32,16.97,355508,295056,435691
48,"Amhara","Oromiya",2009,5,"2009-05",39.466279006,3805.731,0,3805.731,"ETH","Ethiopia",525867.8,138.1779,3.73024666666667,99178.32,16.97,355508,295056,435691
49,"Amhara","Oromiya",2010,2,"2010-02",57.546621876,3805.731,0,3805.731,"ETH","Ethiopia",533661.4,140.2258,3.01876533333333,104537.7,17.02,472260,405007,556814
50,"Amhara","Oromiya",2010,6,"2010-06",19.424194282,3805.731,0,3805.731,"ETH","Ethiopia",537199.1,141.1553,2.88938266666667,104537.7,17.02,472260,405007,556814
51,"Amhara","Oromiya",2010,4,"2010-04",101.910986416,3805.731,0,3805.731,"ETH","Ethiopia",535430.2,140.6906,2.954074,104537.7,17.02,472260,405007,556814
52,"Amhara","North Wello",2010,12,"2010-12",15.3113992088,12297.11,0,12297.11,"ETH","Ethiopia",1779933,144.7441,2.34,100914.2,17.63,472260,405007,556814
53,"Amhara","North Wello",2010,6,"2010-06",17.0052211391,12297.11,0,12297.11,"ETH","Ethiopia",1762523,143.3283,2.99666666666667,100914.2,17.63,472260,405007,556814
54,"Amhara","North Wello",2010,8,"2010-08",530.11741927,12297.11,0,12297.11,"ETH","Ethiopia",1768327,143.8002,2.86333333333333,100914.2,17.63,472260,405007,556814
55,"Amhara","North Wello",2010,7,"2010-07",357.8746557,12297.11,0,12297.11,"ETH","Ethiopia",1765425,143.5643,2.93,100914.2,17.63,472260,405007,556814
56,"Amhara","North Wello",2010,10,"2010-10",10.3187326631,12297.11,0,12297.11,"ETH","Ethiopia",1774130,144.2722,2.73,100914.2,17.63,472260,405007,556814
57,"Amhara","North Wello",2010,5,"2010-05",97.630519288,12297.11,0,12297.11,"ETH","Ethiopia",1759622,143.0923,3.06333333333333,100914.2,17.63,472260,405007,556814
58,"Amhara","Oromiya",2010,1,"2010-01",2.1234822962,3805.731,0,3805.731,"ETH","Ethiopia",532777,139.9934,3.051111,104537.7,17.02,472260,405007,556814
59,"Amhara","Oromiya",2010,8,"2010-08",571.25676796,3805.731,0,3805.731,"ETH","Ethiopia",538967.9,141.6201,2.82469133333333,104537.7,17.02,472260,405007,556814
60,"Amhara","Oromiya",2010,12,"2010-12",3.9615256222,3805.731,0,3805.731,"ETH","Ethiopia",542505.6,142.5497,2.8,104537.7,17.02,472260,405007,556814
61,"Amhara","North Wello",2010,9,"2010-09",63.029228551,12297.11,0,12297.11,"ETH","Ethiopia",1771228,144.0362,2.79666666666667,100914.2,17.63,472260,405007,556814
62,"Amhara","North Wello",2010,1,"2010-01",5.6277515116,12297.11,0,12297.11,"ETH","Ethiopia",1748015,142.1485,3.33,100914.2,17.63,472260,405007,556814
63,"Amhara","North Wello",2010,3,"2010-03",39.408891176,12297.11,0,12297.11,"ETH","Ethiopia",1753818,142.6204,3.19666666666667,100914.2,17.63,472260,405007,556814
64,"Amhara","North Wello",2010,11,"2010-11",13.2140934009,12297.11,0,12297.11,"ETH","Ethiopia",1777032,144.5081,2.34,100914.2,17.63,472260,405007,556814
65,"Amhara","Oromiya",2010,9,"2010-09",77.060273092,3805.731,0,3805.731,"ETH","Ethiopia",539852.3,141.8525,2.79234566666667,104537.7,17.02,472260,405007,556814
66,"Amhara","Oromiya",2010,11,"2010-11",32.23830716,3805.731,0,3805.731,"ETH","Ethiopia",541621.2,142.3173,2.8,104537.7,17.02,472260,405007,556814
67,"Amhara","North Wello",2010,4,"2010-04",100.648113531,12297.11,0,12297.11,"ETH","Ethiopia",1756720,142.8564,3.13,100914.2,17.63,472260,405007,556814
68,"Amhara","Oromiya",2010,3,"2010-03",66.906470744,3805.731,0,3805.731,"ETH","Ethiopia",534545.8,140.4582,2.98641966666667,104537.7,17.02,472260,405007,556814
69,"Amhara","North Wello",2010,2,"2010-02",15.0548902869,12297.11,0,12297.11,"ETH","Ethiopia",1750917,142.3845,3.26333333333333,100914.2,17.63,472260,405007,556814
70,"Amhara","Oromiya",2010,7,"2010-07",363.85945418,3805.731,0,3805.731,"ETH","Ethiopia",538083.5,141.3877,2.857037,104537.7,17.02,472260,405007,556814
71,"Amhara","Oromiya",2010,10,"2010-10",8.2337073492,3805.731,0,3805.731,"ETH","Ethiopia",540736.8,142.0849,2.76,104537.7,17.02,472260,405007,556814
72,"Amhara","Oromiya",2010,5,"2010-05",95.560529164,3805.731,0,3805.731,"ETH","Ethiopia",536314.7,140.923,2.92172833333333,104537.7,17.02,472260,405007,556814
73,"Amhara","North Wello",2012,7,"2012-07",329.74197149,12297.11,0,12297.11,"ETH","Ethiopia",1835064,149.2274,5.50851866666667,94903.77,12.85,434642,389359,494932
74,"Amhara","North Wello",2012,2,"2012-02",6.9343372914,12297.11,0,12297.11,"ETH","Ethiopia",1820556,148.0475,5.47271644444444,94903.77,12.85,434642,389359,494932
75,"Amhara","Oromiya",2012,3,"2012-03",77.328552032,3805.731,0,3805.731,"ETH","Ethiopia",555771.8,146.0355,5.73061711111111,106230.2,17.95,434642,389359,494932
76,"Amhara","North Wello",2012,10,"2012-10",17.2041905533,12297.11,0,12297.11,"ETH","Ethiopia",1843769,149.9352,5.53,94903.77,12.85,434642,389359,494932
77,"Amhara","Oromiya",2012,2,"2012-02",8.0115395714,3805.731,0,3805.731,"ETH","Ethiopia",554887.4,145.8031,5.70641955555556,106230.2,17.95,434642,389359,494932
78,"Amhara","Oromiya",2012,10,"2012-10",2.2301096136,3805.731,0,3805.731,"ETH","Ethiopia",561962.8,147.6623,5.9,106230.2,17.95,434642,389359,494932
79,"Amhara","North Wello",2012,4,"2012-04",145.084628368,12297.11,0,12297.11,"ETH","Ethiopia",1826360,148.5195,5.48703733333333,94903.77,12.85,434642,389359,494932
80,"Amhara","North Wello",2012,3,"2012-03",150.336206244,12297.11,0,12297.11,"ETH","Ethiopia",1823458,148.2835,5.47987688888889,94903.77,12.85,434642,389359,494932
81,"Amhara","North Wello",2012,8,"2012-08",271.0745177,12297.11,0,12297.11,"ETH","Ethiopia",1837966,149.4633,5.51567911111111,94903.77,12.85,434642,389359,494932
82,"Amhara","Oromiya",2012,9,"2012-09",41.856286588,3805.731,0,3805.731,"ETH","Ethiopia",561078.3,147.4299,5.87580244444444,106230.2,17.95,434642,389359,494932
83,"Amhara","North Wello",2012,12,"2012-12",8.1820252117,12297.11,0,12297.11,"ETH","Ethiopia",1849573,150.4072,6,94903.77,12.85,434642,389359,494932
84,"Amhara","Oromiya",2012,6,"2012-06",39.931878946,3805.731,0,3805.731,"ETH","Ethiopia",558425.1,146.7327,5.80320977777778,106230.2,17.95,434642,389359,494932
85,"Amhara","Oromiya",2012,4,"2012-04",192.79280264,3805.731,0,3805.731,"ETH","Ethiopia",556656.2,146.2679,5.75481466666667,106230.2,17.95,434642,389359,494932
86,"Amhara","North Wello",2012,1,"2012-01",7.7929303705,12297.11,0,12297.11,"ETH","Ethiopia",1817655,147.8116,5.465556,94903.77,12.85,434642,389359,494932
87,"Amhara","North Wello",2012,6,"2012-06",33.47519439,12297.11,0,12297.11,"ETH","Ethiopia",1832163,148.9914,5.50135822222222,94903.77,12.85,434642,389359,494932
88,"Amhara","North Wello",2012,11,"2012-11",15.405632458,12297.11,0,12297.11,"ETH","Ethiopia",1846671,150.1712,5.85,94903.77,12.85,434642,389359,494932
89,"Amhara","North Wello",2012,5,"2012-05",36.599299922,12297.11,0,12297.11,"ETH","Ethiopia",1829261,148.7554,5.49419777777778,94903.77,12.85,434642,389359,494932
90,"Amhara","Oromiya",2012,11,"2012-11",2.0383554336,3805.731,0,3805.731,"ETH","Ethiopia",562847.2,147.8947,5.62,106230.2,17.95,434642,389359,494932
91,"Amhara","Oromiya",2012,1,"2012-01",8.9915037262,3805.731,0,3805.731,"ETH","Ethiopia",554003,145.5708,5.682222,106230.2,17.95,434642,389359,494932
92,"Amhara","Oromiya",2012,8,"2012-08",349.70323296,3805.731,0,3805.731,"ETH","Ethiopia",560193.9,147.1975,5.85160488888889,106230.2,17.95,434642,389359,494932
93,"Amhara","Oromiya",2012,7,"2012-07",350.39187886,3805.731,0,3805.731,"ETH","Ethiopia",559309.5,146.9651,5.82740733333333,106230.2,17.95,434642,389359,494932
94,"Amhara","Oromiya",2012,12,"2012-12",3.6311478006,3805.731,0,3805.731,"ETH","Ethiopia",563731.6,148.127,5.7492855,106230.2,17.95,434642,389359,494932
95,"Amhara","Oromiya",2012,5,"2012-05",45.188267044,3805.731,0,3805.731,"ETH","Ethiopia",557540.7,146.5003,5.77901222222222,106230.2,17.95,434642,389359,494932
96,"Amhara","North Wello",2012,9,"2012-09",34.791765685,12297.11,0,12297.11,"ETH","Ethiopia",1840868,149.6993,5.52283955555556,94903.77,12.85,434642,389359,494932
97,"Oromia","Bale",2008,12,"2008-12",4.68851353847059,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1636456,29.75032,4.2,558833,19.87,933713,470904,351250
98,"Oromia","Bale",2008,10,"2008-10",169.043278931176,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1628589,29.6073,5,558833,19.87,933713,470904,351250
99,"Oromia","Borena",2008,5,"2008-05",50.5939638051538,52613,671.0943,51941.91,"ETH","Ethiopia",1101434,21.2051,4.03209888888889,285247.9,23.43,933713,470904,351250
100,"Oromia","Borena",2008,10,"2008-10",169.983356615385,52613,671.0943,51941.91,"ETH","Ethiopia",1114898,21.46432,3.6,285247.9,23.43,933713,470904,351250
101,"Oromia","Bale",2008,4,"2008-04",136.450036711765,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1604988,29.17824,4.699526,558833,19.87,933713,470904,351250
102,"Oromia","Bale",2008,5,"2008-05",155.024528784706,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1608922,29.24975,4.749605,558833,19.87,933713,470904,351250
103,"Oromia","Bale",2008,8,"2008-08",97.3831628288235,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1620722,29.46428,4.899842,558833,19.87,933713,470904,351250
104,"Oromia","Bale",2008,6,"2008-06",59.0814278835294,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1612855,29.32126,4.799684,558833,19.87,933713,470904,351250
105,"Oromia","Borena",2008,1,"2008-01",9.33922472761538,52613,671.0943,51941.91,"ETH","Ethiopia",1090662,20.99773,4.377778,285247.9,23.43,933713,470904,351250
106,"Oromia","Borena",2008,4,"2008-04",140.164683561538,52613,671.0943,51941.91,"ETH","Ethiopia",1098741,21.15326,4.11851866666667,285247.9,23.43,933713,470904,351250
107,"Oromia","Borena",2008,12,"2008-12",3.84729228492308,52613,671.0943,51941.91,"ETH","Ethiopia",1120283,21.568,4.5,285247.9,23.43,933713,470904,351250
108,"Oromia","Borena",2008,6,"2008-06",34.0798671856154,52613,671.0943,51941.91,"ETH","Ethiopia",1104126,21.25695,3.94567911111111,285247.9,23.43,933713,470904,351250
109,"Oromia","Bale",2008,11,"2008-11",100.548274694118,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1632523,29.67881,4.5,558833,19.87,933713,470904,351250
110,"Oromia","Borena",2008,9,"2008-09",75.4615003177692,52613,671.0943,51941.91,"ETH","Ethiopia",1112205,21.41247,3.68641977777778,285247.9,23.43,933713,470904,351250
111,"Oromia","Borena",2008,8,"2008-08",25.2800500293846,52613,671.0943,51941.91,"ETH","Ethiopia",1109512,21.36063,3.77283955555556,285247.9,23.43,933713,470904,351250
112,"Oromia","Borena",2008,2,"2008-02",6.78262905307692,52613,671.0943,51941.91,"ETH","Ethiopia",1093355,21.04957,4.29135822222222,285247.9,23.43,933713,470904,351250
113,"Oromia","Borena",2008,11,"2008-11",92.1365817192308,52613,671.0943,51941.91,"ETH","Ethiopia",1117591,21.51616,3.6,285247.9,23.43,933713,470904,351250
114,"Oromia","Borena",2008,3,"2008-03",62.89026142,52613,671.0943,51941.91,"ETH","Ethiopia",1096048,21.10142,4.20493844444444,285247.9,23.43,933713,470904,351250
115,"Oromia","Bale",2008,1,"2008-01",9.05459915994118,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1593188,28.96371,4.549289,558833,19.87,933713,470904,351250
116,"Oromia","Bale",2008,3,"2008-03",33.7696729211765,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1601055,29.10673,4.649447,558833,19.87,933713,470904,351250
117,"Oromia","Bale",2008,9,"2008-09",108.110186088824,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1624656,29.53579,4.949921,558833,19.87,933713,470904,351250
118,"Oromia","Bale",2008,7,"2008-07",65.8567299329412,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1616789,29.39277,4.849763,558833,19.87,933713,470904,351250
119,"Oromia","Bale",2008,2,"2008-02",4.610305727,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1597121,29.03522,4.599368,558833,19.87,933713,470904,351250
120,"Oromia","Borena",2008,7,"2008-07",25.6331777406154,52613,671.0943,51941.91,"ETH","Ethiopia",1106819,21.30879,3.85925933333333,285247.9,23.43,933713,470904,351250
121,"Oromia","Bale",2009,11,"2009-11",31.3090864352941,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1679725,30.53693,3,604793.4,19.5,1000056,290287,149388
122,"Oromia","Borena",2009,11,"2009-11",31.9508463684615,52613,671.0943,51941.91,"ETH","Ethiopia",1149904,22.13827,4.4,324390.3,18.35,1000056,290287,149388
123,"Oromia","East Shewa",2009,7,"2009-07",177.6901923,10053.51,550.7608,9502.751,"ETH","Ethiopia",1864446,8883.057,3.47777766666667,2424170,27.26,1000056,290287,149388
124,"Oromia","East Shewa",2009,1,"2009-01",67.9330291363636,10053.51,550.7608,9502.751,"ETH","Ethiopia",1838001,8757.065,4.433333,2424170,27.26,1000056,290287,149388
125,"Oromia","Borena",2009,5,"2009-05",112.434571817692,52613,671.0943,51941.91,"ETH","Ethiopia",1133747,21.82722,3.76543222222222,324390.3,18.35,1000056,290287,149388
126,"Oromia","Bale",2009,3,"2009-03",46.5009883258824,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1648257,29.96485,4.17283933333333,604793.4,19.5,1000056,290287,149388
127,"Oromia","Bale",2009,7,"2009-07",40.1538047428824,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1663991,30.25089,4.074074,604793.4,19.5,1000056,290287,149388
128,"Oromia","Bale",2009,9,"2009-09",86.8619891058824,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1671858,30.39391,4.02469133333333,604793.4,19.5,1000056,290287,149388
129,"Oromia","Bale",2009,12,"2009-12",35.3240366335294,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1683658,30.60844,3,604793.4,19.5,1000056,290287,149388
130,"Oromia","East Shewa",2009,2,"2009-02",8.29062898690909,10053.51,550.7608,9502.751,"ETH","Ethiopia",1842408,8778.063,4.27407377777778,2424170,27.26,1000056,290287,149388
131,"Oromia","Borena",2009,8,"2009-08",20.1600175290769,52613,671.0943,51941.91,"ETH","Ethiopia",1141826,21.98275,3.60617288888889,324390.3,18.35,1000056,290287,149388
132,"Oromia","Borena",2009,12,"2009-12",67.6532500076923,52613,671.0943,51941.91,"ETH","Ethiopia",1152597,22.19012,4,324390.3,18.35,1000056,290287,149388
133,"Oromia","Borena",2009,4,"2009-04",113.724162166154,52613,671.0943,51941.91,"ETH","Ethiopia",1131055,21.77537,3.81851866666667,324390.3,18.35,1000056,290287,149388
134,"Oromia","East Shewa",2009,12,"2009-12",41.3018548172727,10053.51,550.7608,9502.751,"ETH","Ethiopia",1886483,8988.05,3,2424170,27.26,1000056,290287,149388
135,"Oromia","Borena",2009,7,"2009-07",13.900224829,52613,671.0943,51941.91,"ETH","Ethiopia",1139133,21.9309,3.65925933333333,324390.3,18.35,1000056,290287,149388
136,"Oromia","Bale",2009,1,"2009-01",34.7169882376471,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1640390,29.82183,4.222222,604793.4,19.5,1000056,290287,149388
137,"Oromia","East Shewa",2009,9,"2009-09",75.8588664909091,10053.51,550.7608,9502.751,"ETH","Ethiopia",1873260,8925.054,3.15925922222222,2424170,27.26,1000056,290287,149388
138,"Oromia","Bale",2009,2,"2009-02",7.00887529611765,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1644323,29.89334,4.19753066666667,604793.4,19.5,1000056,290287,149388
139,"Oromia","Borena",2009,9,"2009-09",42.3678919368462,52613,671.0943,51941.91,"ETH","Ethiopia",1144519,22.03459,3.55308644444444,324390.3,18.35,1000056,290287,149388
140,"Oromia","East Shewa",2009,3,"2009-03",34.94062194,10053.51,550.7608,9502.751,"ETH","Ethiopia",1846816,8799.062,4.11481455555556,2424170,27.26,1000056,290287,149388
141,"Oromia","East Shewa",2009,10,"2009-10",73.3547754754545,10053.51,550.7608,9502.751,"ETH","Ethiopia",1877668,8946.053,3,2424170,27.26,1000056,290287,149388
142,"Oromia","East Shewa",2009,8,"2009-08",208.453159854545,10053.51,550.7608,9502.751,"ETH","Ethiopia",1868853,8904.055,3.31851844444444,2424170,27.26,1000056,290287,149388
143,"Oromia","Borena",2009,3,"2009-03",40.3795154338462,52613,671.0943,51941.91,"ETH","Ethiopia",1128362,21.72353,3.87160511111111,324390.3,18.35,1000056,290287,149388
144,"Oromia","Borena",2009,10,"2009-10",94.0407127976923,52613,671.0943,51941.91,"ETH","Ethiopia",1147212,22.08643,3.5,324390.3,18.35,1000056,290287,149388
145,"Oromia","Bale",2009,5,"2009-05",137.801913385882,55006.53,0.1850819,55006.35,"ETH","Ethiopia",1656124,30.10787,4.12345666666667,604793.4,19.5,1000056,290287,149388
146,"Oromia","East Shewa",2009,6,"2009-06",49.0674701336364,10053.51,550.7608,9502.751,"ETH","Ethiopia",1860038,8862.058,3.63703688888889,2424170,27.26,1000056,290287,149388
147,"Oromia","East Shewa",2009,11,"2009-11",6.58092624536364,10053.51,550.7608,9502.751,"ETH","Ethiopia",1882075,8967.051,3,2424170,27.26,1000056,290287,149388
148,"Oromia","East Shewa",2009,5,"2009-05",43.9052616245455,10053.51,550.7608,9502.751,"ETH","Ethiopia",1855631,8841.059,3.79629611111111,2424170,27.26,1000056,290287,149388
